"","X.1","X","domain","visits","pageviews","users","pageviews_per_session","avg_session_duration","exits","url","category","scraper_url","status","n_errors","n_lp","n_pp","error_bin","clean_150","Flesch_Kincaid","Gunning_Fog_Index","Coleman_Liau","SMOG","Automated_Readability_Index","Average_Grade_Level","adj_gl"
"11",11,11,"fda.gov",5834001,11934185,4205307,2.045626149,146.2844254,5480686,"http://fda.gov","Consumer Safety","https://www.fda.gov/AboutFDA/WhatWeDo/default.htm","PASS",0,0,0,"0-10 errors"," The Food and Drug Administration is responsible for protecting the public health by ensuring the safety, efficacy, and security of human and veterinary drugs, biological products, and medical devices; and by ensuring the safety of our nation's food supply, cosmetics, and products that emit radiation. FDA also has responsibility for regulating the manufacturing, marketing, and distribution of tobacco products to protect the public health and to reduce tobacco use by minors. FDA is responsible for advancing the public health by helping to speed innovations that make medical products more effective, safer, and more affordable and by helping the public get the accurate, science based information they need to use medical products and foods to maintain and improve their health. FDA also plays a significant role in the Nation's counterterrorism capability. FDA fulfills this responsibility by ensuring the security of the food supply and by fostering development of medical products",18.3716644295302,21.8528859060403,15.6059060402685,18.6694499960586,19,18.6999812743795,11
"12",12,12,"va.gov",5195354,12003124,3601129,2.310357292,201.2196682,4887999,"http://va.gov","Military and Veterans","https://www.va.gov/landing2_about.htm","FAIL",14,30,605,"10-19 errors"," FAQs Ask a Question Toll Free Numbers Hospitals and Clinics Vet Centers Regional Benefits Offices Regional Loan Centers Cemetery Locations To fulfill President Lincoln's promise To care for him who shall have borne the battle, and for his widow, and his orphan by serving and honoring the men and women who are America's veterans. Core values describe an organization's culture and character and serve as the foundation for the way individuals in an organization interact with each other and with people outside of the organization. The Department of Veterans Affairs Core Values and Characteristics apply across the entire VA enterprise. Click here to learn more about VA I CARE Program. Veterans Crisis Line:1 800 273 8255 Press 1 Social Media Complete Directory U.S. Department of Veterans Affairs | 810 Vermont Avenue, NW Washington DC 20420 Last updated April 11, 2018 If you are in crisis or having thoughts of",13.6814285714286,17.3333333333333,14.5574285714286,15.4700424275458,15,15.2084465807473,9
"13",13,13,"cancer.gov",4211051,6493713,3451760,1.542064677,91.6580362,4209136,"http://cancer.gov","Health","https://www.cancer.gov/about-nci/overview","FAIL",11,17,1038,"10-19 errors"," NCI drives the cancer research enterprise by supporting and convening researchers, paying for facilities and systems, coordinating the National Cancer Plan, and more. The National Cancer Institute NCI is the federal government's principal agency for cancer research and training. Our team of approximately 3,500 is part of the National Institutes of Health NIH , one of 11 agencies that make up the Department of Health and Human Services HHS . See our Visitor Information for location and directions. NCI leads, conducts, and supports cancer research across the nation to advance scientific knowledge and help all people live longer, healthier lives. As the leader of the cancer research enterprise, collectively known as the National Cancer Program, and the largest funder of cancer research in the world, NCI manages a broad range of research, training, and information dissemination activities that reach across the entire country, meeting the needs of all demographics",14.4394827586207,18.4942528735632,15.6193103448276,16.3221223982225,16,16.1750336750468,10
"14",14,14,"epa.gov",4129665,9748230,2980674,2.360537719,170.7885298,4020510,"http://epa.gov","Home, Community, and Work","https://www.epa.gov/aboutepa/our-mission-and-what-we-do","PASS",0,0,0,"0-10 errors"," An official website of the United States government. We've made some changes to EPA.gov. If the information you are looking for is not here, you may be able to find it on the EPA Web Archive or the January 19, 2017 Web Snapshot. EPA's Strategic Plan identifies the measurable environmental and human health outcomes the public can expect from EPA and describes how we intend to achieve those results. Learn more about the Strategic Plan. The mission of EPA is to protect human health and the environment. When Congress writes an environmental law, we implement it by writing regulations. Often, we set national standards that states and tribes enforce through their own regulations. If they fail to meet the national standards, we can help them. We also enforce our regulations, and help companies understand the requirements. Nearly half of our budget goes into grants to state environmental programs, non",9.17857823129252,12.1385034013605,11.7063945578231,11.7929086890236,9,10.7632769758999,4
"15",15,15,"tsa.gov",3689218,8400081,2874392,2.276927251,130.1562458,3688261,"http://tsa.gov","Travel and Transportation","https://www.tsa.gov/about/tsa-mission","PASS",0,0,0,"0-10 errors"," Official website of the Department of Homeland Security Protect the nation's transportation systems to ensure freedom of movement for people and commerce. An agile security agency, embodied by a professional workforce, that engages its partners and the American people to outmatch a dynamic threat. Integrity. Respect. Commitment. Hard work. Professionalism. Integrity. On the morning of September 11, 2001, nearly 3,000 people were killed in a series of coordinated terrorist attacks in New York, Pennsylvania and Virginia. The attacks resulted in the creation of the Transportation Security Administration, designed to prevent similar attacks in the future. Driven by a desire to help our nation, tens of thousands of people joined TSA and committed themselves to strengthening our transportation systems while ensuring the freedom of movement for people and commerce. The Aviation and Transportation Security Act, passed by the 107th Congress and signed on November 19, 2001, established TSA. Official website",11.0366666666667,14.1529914529915,15.8277777777778,12.5027186674665,11,12.9040309129805,6
"16",16,16,"usa.gov",3316754,5539093,2816943,1.670034317,113.2927109,3316754,"http://usa.gov","Government Officials","https://www.usa.gov/history-of-website","FAIL",5,18,341,"0-10 errors"," An official website of the United States government The .gov means it's official. Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you're on a federal government site. This site is secure. The https: ensures that you are connecting to the official website and that any information you provide is encrypted and transmitted securely. We create and organize timely, needed government information and services and make them accessible to the public anytime, anywhere, via their channel of choice. Many people and organizations have had a hand in creating our comprehensive, award winning portal to government. USA.gov is an interagency product administered by USAGov formerly the Federal Citizen Information Center , a division of the U.S. General Services Administration's Technology Transformation Service. It got its start when Internet entrepreneur Eric Brewer, whose early research was funded by the Department of Defense, offered to donate",11.4735135135135,16.8252252252252,14.4181081081081,14.0681762864147,10,13.3570046266523,7
"17",17,17,"opm.gov",4483937,11553103,2746088,2.576553373,166.4507713,4476277,"http://opm.gov","Benefits","https://www.opm.gov/about-us/","FAIL",34,38,921,"30-39 errors"," Empowering Excellence in Government through Great People. We lead and serve the Federal Government in enterprise human resources management by delivering policies and services to achieve a trusted effective civilian workforce. Find out more about Federal compensation throughout your career and around the world. Staffing to align with your agency's mission Review the Federal Employees Group Life Insurance FEGLI Handbook Answering your questions about Healthcare and Insurance ...The Director of the Office of Personnel Management shall serve as the Suitability and Credentialing Agent... ~Executive Order 13467, as amended ...primary executive branch service provider for background investigations... ~Executive Order 13467, as amended OPM’s Human Resources Solutions organization can help your agency answer this critically important question. Developing senior leaders in the U.S. Government through Leadership for a Democratic Society, Custom Programs and Interagency Courses. Visit this federal site to search for our regulatory notices, proposed and final rules. See the",12.6380442176871,16.8727891156463,17.8636734693878,14.0681762864147,13,14.8885366178272,8
"18",18,18,"bls.gov",4786504,14196739,2711618,2.965993343,164.5137154,4829592,"http://bls.gov","Money and Business","https://www.bls.gov/bls/infohome.htm","FAIL",13,10,1030,"10-19 errors"," The Bureau of Labor Statistics BLS of the U.S. Department of Labor is the principal federal agency responsible for measuring labor market activity, working conditions, and price changes in the economy. Its mission is to collect, analyze, and disseminate essential economic information to support public and private decision making. As an independent statistical agency, BLS serves its diverse user communities by providing products and services that are accurate, objective, relevant, timely, and accessible. The first BLS Commissioner, Carroll D. Wright, described the Bureau’s mandate as the fearless publication of the facts. See our history page for a BLS historical timeline and pictures through the years. Public and Private Decision Makers Survey Respondents Check out our BLS Survey Respondents page for more information. Potential Employees Last Modified Date: February 16, 2018 Freedom of Information Act | Privacy & Security Statement | Disclaimers | r t t tCustomer Survey | Important",13.8746126760563,19.7760563380282,16.487323943662,16.6780674422075,14,16.1632120799908,10
"19",19,19,"studentaid.ed.gov",3337818,6466903,2591932,1.937464236,145.105583,3336861,"http://ed.gov","Children and Education","https://www2.ed.gov/about/overview/mission/mission.html","FAIL",8,17,327,"0-10 errors"," U.S. Department of Education U.S. Department of Education ED's mission is to promote student achievement and preparation for global competitiveness by fostering educational excellence and ensuring equal access. Congress established the U.S. Department of Education ED on May 4, 1980, in the Department of Education Organization Act Public Law 96 88 of October 1979 . Under this law, ED's mission is to: Strengthen the Federal commitment to assuring access to equal educational opportunity for every individual; Supplement and complement the efforts of states, the local school systems and other instrumentalities of the states, the private sector, public and private nonprofit educational research institutions, community based organizations, parents, and students to improve the quality of education; Encourage the increased involvement of the public, parents, and students in Federal education programs; Promote improvements in the quality and usefulness of education through Federally supported research, evaluation, and sharing of information; Improve the",18.4803146853147,22.4004662004662,19.266013986014,18.9469781762915,19,19.6187546096173,11
"20",20,20,"medicare.gov",5718144,17383274,2550760,3.040020328,262.4306973,5538136,"http://medicare.gov","Health","https://www.medicare.gov/about-us/how-medicare-is-funded/medicare-funding.html","FAIL",31,31,493,"30-39 errors"," The page could not be loaded. The Medicare.gov Home page currently does not fully support browsers with JavaScript disabled. Please note that if you choose to continue without enabling JavaScript certain functionalities on this website may not be available. How Medicare is funded How Medicare is funded, current page The Centers for Medicare & Medicaid Services CMS is the federal agency that runs the Medicare Program. CMS is a branch of the Department of Health and Human Services HHS . CMS also monitors Medicaid programs offered by each state. In 2011, Medicare covered 48.7 million people. Total expenditures in 2011 were $549.1 billion. This money comes from the Medicare Trust Funds. Medicare is paid for through 2 trust fund accounts held by the U.S. Treasury. These funds can only be used for Medicare. r r Español r r r r r A r Small Font r r r r",6.75289738430584,11.9444668008048,9.81211267605633,11.2081432601887,6,9.14352402427113,3
"21",21,21,"cbp.gov",3434525,8807015,2525865,2.564259978,133.974915,3428780,"http://cbp.gov","Law Enforcement and Justice","https://www.cbp.gov/about","PASS",0,0,0,"0-10 errors"," Official website of the Department of Homeland Security Who We Are Learn About CBP Leadership Organization History In Memoriam Environmental Stewardship Document Review Comment NEPA Preserving Cultural Resources Sustainability Congressional Resources Congressional Office FAQs Congressional Testimony CBP Access CBP Snapshot of Operations A Typical Day at CBP Vision and Strategy 2020 Performance, Accountability and Financial Reports Media & Public Media Releases Advisories Speeches Statements Imagery Photo Gallery Video Gallery Background Stats and Summaries Fact Sheets Publications Frontline Digital Reports Forms U.S. Citizens LPRs International Visitors Trusted Traveler Programs Basic Import and Export Importing a Car Exporting a Car Importer Exporter Tips Internet Purchases Automation Agency Partners Getting Started with ACE Upcoming ACE Outreach PGA Pilots Border Interagency Executive Council Key Trade Issues Stakeholder Outreach Priority Trade Issues Brokers Quota AD CVD Rulings & Legal Decisions eRuling Requirements Federal Register Notices Customs Bulletin and Decisions Informed Compliance Publications Along US",39.4028767123288,46.186301369863,23.2630136986301,34.9363251226038,46,37.9577033806852,11
"22",22,22,"census.gov",3241112,10394537,2271172,3.207089727,180.7562599,3196110,"http://census.gov","Home, Community, and Work","https://www.census.gov/about/what.html","FAIL",67,31,1714,"60-69 errors"," Our population statistics cover age, sex, race, Hispanic origin, migration, ancestry, language use, veterans, as well as population estimates and projections. The U.S. Census Bureau is the official source of statistical data tracking the national economy. Business is a large part of America's diverse economy. This section provides key information about businesses in your community. This section provides information on a range of educational topics, from educational attainment and school enrollment to school districts, costs and financing. Prepare for Emergencies, Natural and Man made Disasters using U.S. Census Bureau's data and statistics We measure the state of the nation's workforce, including employment and unemployment levels, weeks and hours worked, occupations, and commuting. Our statistics highlight trends in household and family composition, describe characteristics of the residents of housing units, and show how they are related. Health statistics on insurance coverage, disability, fertility and other health issues are increasingly important",13.352610738255,18.3089932885906,17.1777181208054,15.381575749823,14,15.6441795794948,9
"23",23,23,"studentloans.gov",3746668,9745357,2244362,2.601073007,349.2133592,3741880,"https://studentloans.gov/myDirectLoan/index.action","Children and Education","https://studentloans.gov/myDirectLoan/counselingInstructions.action?counselingType=entrance","FAIL",9,36,158,"0-10 errors"," If you have not previously received a Direct Loan or Federal Family Education Loan FFEL , the Federal Government requires you to complete entrance counseling to ensure that you understand the responsibilities and obligations you are assuming. If you are completing entrance counseling to borrow a loan as an undergraduate student, then the entrance counseling will fulfill counseling requirements for Direct Subsidized Loans and Direct Unsubsidized Loans. If you are completing entrance counseling to borrow a loan as a graduate or professional student, the entrance counseling will fulfill counseling requirements for Direct Subsidized Loans, Direct Unsubsidized Loans, and Direct PLUS Loans. Your school may have alternate entrance counseling requirements. Check with your school's financial aid office to be sure that the counseling available on this Web site satisfies its requirements for entrance counseling. Complete Entrance Counseling r t t t t tLog in to Start r t t t",14.6091891891892,20.1369369369369,15.5386486486486,17.5058628484301,16,16.758127524641,10
"24",24,24,"ghr.nlm.nih.gov",2781515,4071258,2206062,1.46368364,104.1549181,2783430,"http://nih.gov","Health","https://www.nih.gov/about-nih/what-we-do/mission-goals","FAIL",5,21,617,"0-10 errors"," More Search Health Topics Quick Links More Search the NIH Guide Quick Links More Quick Links More Quick Links More Quick Links More Quick Links NIH’s mission is to seek fundamental knowledge about the nature and behavior of living systems and the application of that knowledge to enhance health, lengthen life, and reduce illness and disability. The goals of the agency are: In realizing these goals, the NIH provides leadership and direction to programs designed to improve the health of the Nation by conducting and supporting research: This page last reviewed on July 27, 2017 NIH…Turning Discovery Into Health® National Institutes of Health, 9000 Rockville Pike, Bethesda, Maryland 20892 U.S. Department of Health and Human Services U.S. Department of Health & Human Services NIH Employee Intranet Staff Directory En Español t t t tHome t t t t t t tHealth Information t t t t t t t",13.8831034482759,18.4965517241379,12.3765517241379,15.9031890086143,16,15.3318791810332,9
"25",25,25,"sec.gov",4804697,40259682,2194573,8.37923432,324.8849955,4865019,"http://sec.gov","Money and Business","https://www.sec.gov/Article/whatwedo.html","FAIL",15,13,773,"10-19 errors"," Company Filings | More Search Options Company Filings | More Search Options The mission of the U.S. Securities and Exchange Commission is to protect investors, maintain fair, orderly, and efficient markets, and facilitate capital formation. As more and more first time investors turn to the markets to help secure their futures, pay for homes, and send children to college, our investor protection mission is more compelling than ever. As our nation's securities exchanges mature into global for profit competitors, there is even greater need for sound market regulation. And the common interest of all Americans in a growing economy that produces jobs, improves our standard of living, and protects the value of our savings means that all of the SEC's actions must be taken with an eye toward promoting the capital formation that is necessary to sustain economic growth. The world of investing is fascinating and complex, and it",13.7230272108844,17.1469387755102,13.3918367346939,15.247664890283,15,14.9018935222743,8
"26",26,26,"drugabuse.gov",2643636,8535087,2134250,3.228540919,121.5896617,2641721,"http://drugabuse.gov","Health","https://www.drugabuse.gov/about-nida/directors-page","FAIL",32,18,580,"30-39 errors"," Nora D. Volkow, M.D., became Director of the National Institute on Drug Abuse NIDA at the National Institutes of Health in May 2003. NIDA supports most of the world’s research on the health aspects of drug abuse and addiction. Dr. Volkow’s work has been instrumental in demonstrating that drug addiction is a disease of the human brain. As a research psychiatrist and scientist, Dr. Volkow pioneered the use of brain imaging to investigate the toxic effects and addictive properties of abusable drugs. Her studies have documented changes in the dopamine system affecting, among others, the functions of frontal brain regions involved with motivation, drive, and pleasure in addiction. She has also made important contributions to the neurobiology of obesity, ADHD, and aging. Read more. Read about the latest advances in addiction research in Nature Outlook: Addiction, a special supplement co sponsored by NIDA and NIAAA. View the entire supplement",10.7646846846847,14.6858858858859,13.1905405405405,13.5591,11,12.6400422222222,6
"27",27,27,"recreation.gov",3526444,36518759,2053821,10.35568947,392.6299669,3523572,"http://recreation.gov","Travel and Transportation","https://www.recreation.gov/marketing.do?goto=/acm/aboutUs.htm&tti=About","FAIL",56,39,421,"50-59 errors"," Your session is about to expire. Please log in to save your trip s . Recreation.gov is your one stop shop for trip planning, information sharing and reservations brought to you by 12 federal Participating Partners. Seven of these partner agencies including the Army Corps of Engineers, Forest Service, National Park Service, Bureau of Land Management, Bureau of Reclamation, Fish and Wildlife Service, and the National Archives, offer advance reservations at 2,500 federal areas for over 60,000 facilities and activities. Here are just a few of the things you can plan for your American adventure: Pitch a Tent Reserve a campsite anywhere from destination campgrounds like Grand Canyon National Park to lesser known gems like Maple Grove Campground on the Fishlake National Forest, to unique camping experiences that require planning and preparation like Brooks Camp in Alaska. Hike a Trail Recreation.gov provides information on everything from easy day hikes",11.8390948275862,15.25,14.7244137931034,14.0058448600213,13,13.7638706961422,7
"28",28,28,"cms.gov",4384358,13610754,2038501,3.104389286,219.304412,4399677,"http://cms.gov","Health","https://www.cms.gov/About-CMS/Agency-Information/Consortia/index.html","FAIL",25,27,309,"20-29 errors"," The page could not be loaded. The CMS.gov Web site currently does not fully support browsers with t t t JavaScript disabled. Please enable JavaScript and revisit this page or proceed with browsing CMS.gov with t t t JavaScript disabled. t t t t t tInstructions for enabling JavaScript can be found here. t t t t Please note that if you choose t t tto continue without enabling JavaScript certain functionalities on this website may not be available. t t t The Centers for Medicare & Medicaid Services CMS ten Field offices reorganized in February 2007 moving from a geography based structure to a Consortia structure based on the Agency's key lines of business: Medicare health plans, Medicare financial management, Medicare fee for service operations, Medicaid and children's health, survey & certification and quality improvement. The intent of the new structure is to improve performance through uniform issue",12.2781213307241,18.2058708414873,12.8654794520548,16.0843908110934,13,14.4867724870719,8
"29",29,29,"earthquake.usgs.gov",4977045,8472850,1920730,1.702385653,95.39631307,5003855,"http://usgs.gov","Home, Community, and Work","https://www.usgs.gov/about/about-us","FAIL",45,10,595,"40-49 errors"," Science Explorer Mission Areas Regions Frequently Asked Questions Education Data and Tools Maps Publications Software Multimedia Gallery Park Passes USGS Library Featured Stories News Releases Science Snippets Technical Announcements Employees in the News Get Our News Media Contacts I'm a Reporter Headquarters Locations Contact Us Staff Profiles Social Media About Us Organization Key Officials Congressional Budget Opportunities Doing Business Emergency Management We provide science about the natural hazards that threaten lives and livelihoods, the water, energy, minerals, and other natural resources we rely on, the health of our ecosystems and environment, and the impacts of climate and land use change. Our scientists develop new methods and tools to enable timely, relevant, and useful information about the Earth and its processes. Created by an act of Congress in 1879, the USGS has evolved over the ensuing 125 years, matching its talent and knowledge to the progress of science and technology.",25.9270068027211,30.756462585034,17.4359183673469,24.2482403707632,30,25.673525625173,11
"30",30,30,"consumer.ftc.gov",2147655,3401970,1897750,1.584039336,85.58806745,2145740,"http://ftc.gov","Money and Business","https://www.ftc.gov/about-ftc","FAIL",4,20,788,"0-10 errors"," Skip navigation Working to protect consumers by preventing anticompetitive, deceptive, and unfair business practices, enhancing informed consumer choice and public understanding of the competitive process, and accomplishing this without unduly burdening legitimate business activity. A vibrant economy characterized by vigorous competition and consumer access to accurate information. As a consumer or business person, you may be more familiar with the work of the Federal Trade Commission than you think. The FTC deals with issues that touch the economic life of every American. The FTC is the only federal agency with both consumer protection and competition jurisdiction in broad sectors of the economy. The FTC pursues vigorous and effective law enforcement; advances consumers’ interests by sharing its expertise with federal and state legislatures and U.S. and international government agencies; develops policy and research tools through hearings, workshops, and conferences; and creates practical and plain language educational programs for consumers and",17.543389261745,23.8930648769575,18.3669798657718,19.9469696629508,19,19.750080733485,11
